x,f1(x),f2(x)
0.0001,0.499983,0.499983
9.90832e-05,0.499983,0.499983
9.81748e-05,0.499984,0.499984
9.72747e-05,0.499984,0.499984
9.63829e-05,0.499984,0.499984
9.54993e-05,0.499984,0.499984
9.46237e-05,0.499984,0.499984
9.37562e-05,0.499984,0.499984
9.28966e-05,0.499985,0.499985
9.2045e-05,0.499985,0.499985
9.12011e-05,0.499985,0.499985
9.03649e-05,0.499985,0.499985
8.95365e-05,0.499985,0.499985
8.87156e-05,0.499985,0.499985
8.79023e-05,0.499985,0.499985
8.70964e-05,0.499985,0.499985
8.62979e-05,0.499986,0.499986
8.55067e-05,0.499986,0.499986
8.47227e-05,0.499986,0.499986
8.3946e-05,0.499986,0.499986
8.31764e-05,0.499986,0.499986
8.24138e-05,0.499986,0.499986
8.16582e-05,0.499986,0.499986
8.09096e-05,0.499987,0.499987
8.01678e-05,0.499987,0.499987
7.94328e-05,0.499987,0.499987
7.87046e-05,0.499987,0.499987
7.7983e-05,0.499987,0.499987
7.72681e-05,0.499987,0.499987
7.65597e-05,0.499987,0.499987
7.58578e-05,0.499987,0.499987
7.51623e-05,0.499987,0.499987
7.44732e-05,0.499988,0.499988
7.37904e-05,0.499988,0.499988
7.31139e-05,0.499988,0.499988
7.24436e-05,0.499988,0.499988
7.17794e-05,0.499988,0.499988
7.11214e-05,0.499988,0.499988
7.04693e-05,0.499988,0.499988
6.98232e-05,0.499988,0.499988
6.91831e-05,0.499988,0.499988
6.85488e-05,0.499989,0.499989
6.79204e-05,0.499989,0.499989
6.72977e-05,0.499989,0.499989
6.66807e-05,0.499989,0.499989
6.60693e-05,0.499989,0.499989
6.54636e-05,0.499989,0.499989
6.48634e-05,0.499989,0.499989
6.42688e-05,0.499989,0.499989
6.36796e-05,0.499989,0.499989
6.30957e-05,0.499989,0.499989
6.25173e-05,0.49999,0.49999
6.19441e-05,0.49999,0.49999
6.13762e-05,0.49999,0.49999
6.08135e-05,0.49999,0.49999
6.0256e-05,0.49999,0.49999
5.97035e-05,0.49999,0.49999
5.91562e-05,0.49999,0.49999
5.86138e-05,0.49999,0.49999
5.80764e-05,0.49999,0.49999
