x1,x2,y1,y2
1.53164,0.665417,-1.28611,-0.786452
1.53029,0.663478,-1.28771,-0.789083
1.52805,0.660245,-1.29037,-0.793469
1.52491,0.655716,-1.29408,-0.799613
1.52089,0.649891,-1.29881,-0.807519
1.51598,0.642768,-1.30453,-0.817193
1.5102,0.634347,-1.31122,-0.828643
1.50356,0.624629,-1.31883,-0.841877
1.49606,0.613617,-1.32733,-0.856909
1.48772,0.601317,-1.33667,-0.873754
1.47855,0.587738,-1.34681,-0.892431
1.46856,0.572895,-1.35769,-0.912963
1.45777,0.556807,-1.36927,-0.935377
1.44619,0.5395,-1.38149,-0.959704
1.43384,0.521007,-1.39431,-0.985979
1.42072,0.501368,-1.40768,-1.01424
1.40684,0.480631,-1.42155,-1.04453
1.39219,0.458851,-1.4359,-1.0769
1.37677,0.436092,-1.45069,-1.11139
1.36057,0.412426,-1.46589,-1.14806
1.34356,0.38793,-1.4815,-1.18694
1.32572,0.362687,-1.49749,-1.2281
1.30699,0.336786,-1.51386,-1.27157
1.28732,0.310318,-1.53062,-1.3174
1.26665,0.28338,-1.54777,-1.36563
1.2449,0.256067,-1.56532,-1.41629
1.22197,0.228479,-1.58328,-1.46941
1.19777,0.200714,-1.60167,-1.52501
1.17217,0.172873,-1.6205,-1.5831
1.14505,0.145056,-1.63978,-1.6437
1.11625,0.117366,-1.65952,-1.7068
1.0856,0.0899074,-1.67972,-1.77238
1.05293,0.0627878,-1.70039,-1.84044
1.01802,0.0361202,-1.72152,-1.91093
0.980619,0.0100245,-1.7431,-1.98382
0.940455,-0.015369,-1.76509,-2.05903
0.897202,-0.0399163,-1.78746,-2.13648
0.850471,-0.063454,-1.81017,-2.21605
0.7998,-0.0857926,-1.83312,-2.29758
0.744617,-0.106706,-1.85622,-2.38086
0.684211,-0.125918,-1.87932,-2.46558
0.617669,-0.143077,-1.90223,-2.55128
0.543791,-0.157728,-1.92465,-2.6373
0.460963,-0.169256,-1.94615,-2.72257
0.366968,-0.176807,-1.96605,-2.80528
0.258797,-0.179198,-1.98319,-2.88216
0.132891,-0.174929,-1.99558,-2.94702
-0.0121211,-0.163001,-1.99996,-2.98852
-0.166853,-0.145762,-1.99303,-2.99281
-0.312054,-0.129214,-1.97551,-2.95865
-0.438289,-0.117116,-1.95138,-2.89841
-0.546156,-0.110061,-1.92398,-2.82388
-0.639032,-0.107378,-1.89516,-2.74212
-0.72004,-0.108246,-1.86589,-2.65691
-0.791538,-0.111991,-1.8367,-2.57033
-0.85525,-0.118099,-1.80791,-2.48364
-0.912449,-0.126177,-1.77973,-2.39761
-0.964099,-0.135921,-1.75229,-2.31275
-1.01095,-0.147088,-1.72568,-2.22942
-1.05358,-0.159484,-1.69999,-2.14787
-1.09248,-0.172947,-1.67526,-2.06827
-1.12803,-0.187339,-1.65153,-1.99079
-1.16057,-0.202542,-1.62883,-1.91551
-1.19037,-0.218451,-1.60718,-1.84252
-1.21766,-0.234975,-1.5866,-1.77188
-1.24266,-0.252026,-1.5671,-1.70364
-1.26554,-0.269526,-1.54868,-1.63785
-1.28647,-0.2874,-1.53134,-1.57452
-1.30558,-0.305576,-1.51508,-1.51368
-1.32299,-0.323985,-1.4999,-1.45534
-1.33883,-0.342558,-1.48578,-1.39951
-1.35319,-0.361226,-1.47271,-1.34619
-1.36616,-0.379921,-1.46068,-1.29538
-1.37783,-0.398573,-1.44968,-1.24706
-1.38826,-0.417115,-1.4397,-1.20122
-1.39752,-0.435475,-1.43071,-1.15783
-1.40567,-0.453585,-1.4227,-1.11688
-1.41275,-0.471373,-1.41568,-1.07832
-1.4188,-0.488772,-1.40961,-1.04212
-1.42385,-0.505714,-1.40451,-1.00824
-1.42792,-0.522134,-1.40037,-0.976641
-1.43104,-0.537969,-1.39719,-0.947265
-1.4332,-0.553162,-1.39497,-0.920066
-1.43441,-0.567657,-1.39372,-0.89499
-1.43467,-0.581404,-1.39345,-0.871983
-1.43397,-0.594357,-1.39418,-0.850992
-1.43228,-0.606474,-1.39591,-0.83196
-1.4296,-0.61772,-1.39866,-0.814833
-1.42589,-0.628062,-1.40244,-0.799555
-1.42113,-0.637471,-1.40726,-0.786073
-1.41529,-0.645922,-1.41313,-0.774331
-1.40834,-0.653394,-1.42006,-0.764276
-1.40023,-0.659867,-1.42806,-0.755853
-1.39094,-0.665325,-1.43711,-0.749009
-1.38041,-0.669753,-1.44723,-0.743689
-1.36862,-0.67314,-1.45838,-0.739837
-1.35551,-0.675474,-1.47058,-0.737397
-1.34104,-0.676745,-1.48378,-0.736312
-1.32517,-0.676947,-1.49797,-0.736523
-1.30784,-0.676072,-1.51312,-0.73797
-1.28902,-0.674116,-1.52919,-0.74059
-1.26865,-0.671075,-1.54613,-0.74432
-1.24669,-0.666949,-1.5639,-0.749093
-1.22308,-0.661739,-1.58243,-0.754843
-1.19778,-0.655447,-1.60166,-0.761499
-1.17074,-0.648081,-1.62153,-0.768991
-1.14192,-0.639649,-1.64196,-0.777245
-1.11127,-0.630166,-1.66285,-0.786189
-1.07876,-0.619647,-1.68413,-0.795747
-1.04434,-0.608115,-1.70569,-0.805846
-1.00797,-0.595596,-1.72742,-0.81641
-0.969642,-0.582122,-1.74923,-0.827365
-0.929312,-0.567732,-1.77098,-0.838642
-0.886964,-0.552469,-1.79257,-0.850169
-0.842584,-0.536383,-1.81385,-0.861883
-0.796162,-0.519534,-1.8347,-0.873724
-0.747699,-0.501984,-1.85498,-0.885637
-0.697201,-0.483807,-1.87454,-0.897577
-0.644683,-0.46508,-1.89325,-0.909508
-0.590171,-0.445889,-1.91094,-0.921405
-0.533699,-0.426325,-1.92748,-0.933258
-0.475314,-0.406485,-1.9427,-0.94507
-0.415075,-0.386469,-1.95645,-0.956863
-0.353054,-0.366379,-1.96859,-0.96868
-0.28934,-0.346319,-1.97896,-0.980585
-0.224036,-0.326388,-1.98741,-0.992664
-0.157267,-0.306681,-1.99381,-1.00503
-0.0891774,-0.287282,-1.99801,-1.01783
-0.019936,-0.268263,-1.9999,-1.03122
0.0502622,-0.249677,-1.99937,-1.04541
0.121194,-0.231554,-1.99632,-1.06061
0.192604,-0.213895,-1.9907,-1.07705
0.264207,-0.196671,-1.98247,-1.09501
0.335685,-0.179817,-1.97163,-1.11474
0.406691,-0.16323,-1.95821,-1.13651
0.476848,-0.146772,-1.94232,-1.16059
0.545763,-0.130269,-1.9241,-1.18722
0.613027,-0.113519,-1.90373,-1.21662
0.678229,-0.0962984,-1.88149,-1.24895
0.740967,-0.0783682,-1.85768,-1.28436
0.800856,-0.0594873,-1.83266,-1.32294
0.857545,-0.0394212,-1.80683,-1.36473
0.910718,-0.0179511,-1.78062,-1.40971
0.960105,0.00511803,-1.75448,-1.45783
1.00548,0.0299524,-1.72887,-1.50901
1.04668,0.0566861,-1.70425,-1.56313
1.08356,0.0854203,-1.68104,-1.62004
1.11603,0.116225,-1.65966,-1.67958
1.14402,0.149142,-1.64049,-1.74159
1.16749,0.18419,-1.62388,-1.80589
1.18639,0.221368,-1.61012,-1.8723
1.20067,0.260665,-1.59949,-1.94065
1.21028,0.30206,-1.59224,-2.01074
1.2151,0.345532,-1.58856,-2.08237
1.21499,0.391063,-1.58865,-2.15534
1.20972,0.438646,-1.59266,-2.2294
1.19898,0.488285,-1.60076,-2.30426
1.18232,0.540005,-1.61311,-2.37955
1.1591,0.593849,-1.62987,-2.45479
1.12845,0.649883,-1.65124,-2.52929
1.08913,0.708188,-1.67744,-2.60204
1.03936,0.768821,-1.70872,-2.67143
0.976603,0.831706,-1.74535,-2.7348
0.897444,0.896261,-1.78734,-2.78734
0.798497,0.960312,-1.83369,-2.82051
0.681772,1.01796,-1.88021,-2.822
0.562016,1.061,-1.91941,-2.78602
