x1,x2,y1,y2
1.55383,0.687625,-1.25922,-0.75952
1.55243,0.6857,-1.26094,-0.76216
1.55011,0.682489,-1.26379,-0.766559
1.54685,0.67799,-1.26777,-0.772721
1.54268,0.672199,-1.27284,-0.780646
1.53759,0.665112,-1.27899,-0.790338
1.53159,0.656725,-1.28617,-0.801803
1.52469,0.647035,-1.29435,-0.815047
1.51689,0.636041,-1.30347,-0.830078
1.50821,0.623743,-1.3135,-0.846908
1.49867,0.610144,-1.32438,-0.865553
1.48827,0.595254,-1.33606,-0.886031
1.47703,0.579085,-1.34848,-0.908365
1.46496,0.561656,-1.36157,-0.932581
1.45209,0.542993,-1.37529,-0.958711
1.43842,0.523129,-1.38959,-0.986791
1.42396,0.502107,-1.4044,-1.01686
1.40872,0.479976,-1.41969,-1.04896
1.3927,0.456794,-1.43541,-1.08315
1.37589,0.43263,-1.45153,-1.11946
1.35827,0.407556,-1.46803,-1.15796
1.33983,0.381656,-1.48488,-1.19868
1.32052,0.355015,-1.50208,-1.24168
1.3003,0.327726,-1.51961,-1.28701
1.27911,0.299885,-1.53749,-1.33471
1.25688,0.27159,-1.55572,-1.38481
1.23352,0.242943,-1.5743,-1.43735
1.20894,0.214045,-1.59326,-1.49235
1.18303,0.184998,-1.61259,-1.54984
1.15565,0.155907,-1.63232,-1.60982
1.12668,0.126875,-1.65245,-1.67231
1.09594,0.0980089,-1.673,-1.73729
1.06326,0.069418,-1.69395,-1.80475
1.02844,0.0412153,-1.71532,-1.87467
0.991238,0.0135204,-1.73708,-1.947
0.951398,-0.0135386,-1.75922,-2.0217
0.908608,-0.0398212,-1.78169,-2.09868
0.862504,-0.0651698,-1.80446,-2.17785
0.812654,-0.0894035,-1.82746,-2.25907
0.758528,-0.112309,-1.85058,-2.34215
0.699469,-0.133628,-1.8737,-2.42683
0.634642,-0.153036,-1.89664,-2.51272
0.562957,-0.170116,-1.91913,-2.59928
0.482954,-0.184308,-1.94081,-2.68564
0.392621,-0.194833,-1.96108,-2.77034
0.289166,-0.200587,-1.97899,-2.85085
0.168935,-0.200034,-1.99285,-2.92229
0.0287729,-0.191512,-1.99979,-2.97523
-0.127349,-0.175369,-1.99594,-2.99479
-0.281289,-0.157043,-1.98012,-2.97237
-0.416671,-0.142574,-1.95611,-2.91782
-0.531484,-0.133552,-1.92809,-2.8455
-0.629458,-0.12931,-1.89836,-2.7643
-0.714319,-0.128906,-1.86809,-2.67882
-0.788836,-0.131575,-1.83786,-2.59153
-0.854985,-0.136745,-1.80804,-2.50383
-0.914199,-0.143986,-1.77883,-2.41662
-0.967545,-0.152972,-1.75039,-2.33045
-1.01584,-0.163446,-1.72281,-2.24571
-1.05972,-0.175203,-1.69617,-2.16269
-1.09969,-0.188074,-1.67053,-2.08157
-1.13618,-0.201918,-1.64593,-2.00251
-1.16953,-0.216614,-1.6224,-1.92563
-1.20004,-0.232057,-1.59997,-1.851
-1.22794,-0.248153,-1.57866,-1.77871
-1.25346,-0.264819,-1.55848,-1.7088
-1.27677,-0.281977,-1.53943,-1.64131
-1.29805,-0.299555,-1.52153,-1.57628
-1.31744,-0.317483,-1.50477,-1.51373
-1.33507,-0.335697,-1.48916,-1.45367
-1.35104,-0.354132,-1.47468,-1.39613
-1.36547,-0.372724,-1.46133,-1.34109
-1.37844,-0.391409,-1.44911,-1.28857
-1.39003,-0.410124,-1.43799,-1.23855
-1.40033,-0.428805,-1.42796,-1.19102
-1.40939,-0.447386,-1.41903,-1.14597
-1.41726,-0.465804,-1.41116,-1.10337
-1.424,-0.483993,-1.40436,-1.0632
-1.42964,-0.501889,-1.39861,-1.02542
-1.43422,-0.519428,-1.39392,-0.989999
-1.43776,-0.536549,-1.39027,-0.95689
-1.44028,-0.553193,-1.38766,-0.926052
-1.44177,-0.569304,-1.38611,-0.897437
-1.44226,-0.584831,-1.3856,-0.870994
-1.44172,-0.599727,-1.38617,-0.846671
-1.44014,-0.613947,-1.3878,-0.824416
-1.43752,-0.627455,-1.39052,-0.804174
-1.43381,-0.640218,-1.39434,-0.785893
-1.42901,-0.652206,-1.39926,-0.769518
-1.42307,-0.663397,-1.40531,-0.754996
-1.41595,-0.673771,-1.41247,-0.742274
-1.40762,-0.683312,-1.42078,-0.7313
-1.39803,-0.692009,-1.43021,-0.722023
-1.38714,-0.699855,-1.44078,-0.714391
-1.3749,-0.706843,-1.45247,-0.708353
-1.36124,-0.712974,-1.46527,-0.703859
-1.34613,-0.718248,-1.47917,-0.700858
-1.3295,-0.722669,-1.49413,-0.699301
-1.31129,-0.726246,-1.51014,-0.699138
-1.29144,-0.72899,-1.52715,-0.700318
-1.26988,-0.730914,-1.54512,-0.702795
-1.24656,-0.732038,-1.56399,-0.706519
-1.22142,-0.732384,-1.58371,-0.711446
-1.19437,-0.731977,-1.60421,-0.717532
-1.16537,-0.73085,-1.6254,-0.724734
-1.13435,-0.729038,-1.6472,-0.733017
-1.10124,-0.726582,-1.66951,-0.742348
-1.066,-0.72353,-1.69223,-0.752701
-1.02858,-0.719932,-1.71523,-0.764057
-0.98892,-0.715846,-1.7384,-0.776408
-0.946997,-0.711332,-1.76159,-0.789755
-0.902784,-0.706458,-1.78465,-0.804113
-0.856271,-0.701291,-1.80743,-0.819512
-0.807464,-0.695903,-1.82975,-0.835997
-0.756391,-0.690362,-1.85145,-0.853634
-0.703101,-0.684738,-1.87234,-0.872506
-0.647672,-0.679091,-1.89223,-0.89272
-0.59021,-0.673476,-1.91093,-0.914402
-0.53086,-0.667933,-1.92826,-0.937699
-0.469803,-0.662489,-1.94404,-0.962778
-0.407258,-0.657148,-1.9581,-0.989822
-0.343491,-0.651892,-1.97028,-1.01903
-0.278807,-0.646678,-1.98047,-1.05059
-0.213553,-0.641435,-1.98857,-1.08473
-0.148113,-0.636062,-1.99451,-1.12164
-0.0829051,-0.630433,-1.99828,-1.16149
-0.0183702,-0.624395,-1.99992,-1.20447
0.0450327,-0.617777,-1.99949,-1.2507
0.106838,-0.610389,-1.99714,-1.3003
0.166583,-0.602034,-1.99305,-1.35334
0.223818,-0.592509,-1.98744,-1.40985
0.278113,-0.581617,-1.98057,-1.46982
0.329064,-0.569165,-1.97274,-1.53322
0.376299,-0.554975,-1.96428,-1.59996
0.419477,-0.538882,-1.95552,-1.66995
0.458287,-0.520738,-1.94679,-1.74304
0.492443,-0.500412,-1.93843,-1.81909
0.521677,-0.477784,-1.93076,-1.89792
0.545729,-0.452746,-1.9241,-1.97932
0.564332,-0.425195,-1.91873,-2.06308
0.577194,-0.395028,-1.9149,-2.14896
0.583982,-0.362132,-1.91284,-2.23668
0.584284,-0.326375,-1.91275,-2.32591
0.577579,-0.287593,-1.91479,-2.41626
0.56318,-0.24557,-1.91907,-2.50722
0.540153,-0.200016,-1.92568,-2.5981
0.507204,-0.15053,-1.93462,-2.68787
0.462492,-0.0965537,-1.94579,-2.77493
0.403402,-0.0373217,-1.95889,-2.85654
0.326429,0.028094,-1.97318,-2.92764
0.228409,0.100175,-1.98691,-2.97866
0.112816,0.176574,-1.99682,-2.99478
-0.00267867,0.250064,-2,-2.96753
-0.10083,0.314744,-1.99746,-2.90702
-0.178474,0.370241,-1.99202,-2.82803
-0.238685,0.41818,-1.98571,-2.73972
-0.28483,0.460052,-1.97961,-2.64681
-0.319439,0.496922,-1.97432,-2.55187
-0.344307,0.529523,-1.97014,-2.45637
-0.360713,0.558368,-1.9672,-2.36127
-0.369591,0.583827,-1.96555,-2.26721
-0.371639,0.606173,-1.96517,-2.17465
-0.367397,0.625616,-1.96597,-2.08397
-0.357293,0.642325,-1.96783,-1.99546
-0.341686,0.656439,-1.9706,-1.90938
-0.320882,0.668083,-1.97409,-1.82594
-0.295164,0.677374,-1.9781,-1.74536
-0.264801,0.684429,-1.98239,-1.66781
-0.230061,0.689365,-1.98672,-1.59346
-0.191219,0.69231,-1.99084,-1.52246
-0.148569,0.693399,-1.99447,-1.45495
-0.10242,0.692777,-1.99738,-1.39103
-0.0531055,0.690601,-1.99929,-1.33079
-0.000977502,0.687034,-2,-1.2743
0.053592,0.682246,-1.99928,-1.2216
