t,phi1,phi2,phi1dot,phi2dot,deltaE
0.05,0.872316,-2.094,-0.114894,0.0433033,-3.74492e-11
0.1,0.87127,-2.09281,-0.229713,0.0866185,-9.70999e-11
0.15,0.869531,-2.09082,-0.344382,0.129957,-1.88513e-10
0.2,0.867107,-2.088,-0.458824,0.173331,-3.13494e-10
0.25,0.864006,-2.08434,-0.572961,0.216748,-4.74422e-10
0.3,0.860241,-2.0798,-0.686716,0.260218,-6.74059e-10
0.35,0.855827,-2.07434,-0.800007,0.303746,-9.15313e-10
0.4,0.850779,-2.06792,-0.91275,0.347335,-1.20096e-09
0.45,0.845117,-2.06049,-1.02486,0.390985,-1.53336e-09
0.5,0.838862,-2.05199,-1.13625,0.434693,-1.91424e-09
0.55,0.832034,-2.04237,-1.24682,0.478449,-2.3446e-09
0.6,0.824657,-2.03154,-1.35647,0.52224,-2.82477e-09
0.65,0.816753,-2.01946,-1.46511,0.566043,-3.35478e-09
0.7,0.808345,-2.00605,-1.57261,0.609832,-3.93492e-09
0.75,0.799453,-1.99123,-1.67887,0.653568,-4.56641e-09
0.8,0.790095,-1.97495,-1.78376,0.697206,-5.25198e-09
0.85,0.780289,-1.95714,-1.88715,0.740688,-5.996e-09
0.9,0.770045,-1.93774,-1.98889,0.783944,-6.80388e-09
0.95,0.759371,-1.91669,-2.08884,0.82689,-7.68034e-09
1,0.748268,-1.89395,-2.18682,0.869427,-8.62682e-09
1.05,0.736734,-1.86948,-2.28265,0.911439,-9.63794e-09
1.1,0.724758,-1.84323,-2.37615,0.952788,-1.06978e-08
1.15,0.712323,-1.81519,-2.46709,0.993317,-1.17766e-08
1.2,0.699407,-1.78532,-2.55523,1.03284,-1.28276e-08
1.25,0.68598,-1.7536,-2.64032,1.07115,-1.37857e-08
1.3,0.672006,-1.72002,-2.72206,1.10799,-1.45658e-08
1.35,0.657444,-1.68455,-2.80014,1.1431,-1.5062e-08
1.4,0.642245,-1.64716,-2.87419,1.17616,-1.51459e-08
1.45,0.626354,-1.60783,-2.94382,1.2068,-1.46635e-08
1.5,0.609712,-1.56651,-3.00858,1.23463,-1.34295e-08
1.55,0.59225,-1.52314,-3.06798,1.25919,-1.12176e-08
1.6,0.573893,-1.47765,-3.12146,1.27994,-7.74511e-09
1.65,0.554556,-1.42994,-3.16841,1.29632,-2.64686e-09
1.7,0.534144,-1.3799,-3.20813,1.30766,4.56887e-09
1.75,0.512549,-1.32737,-3.23984,1.31321,1.45983e-08
1.8,0.489646,-1.27214,-3.26265,1.31212,2.84893e-08
1.85,0.465288,-1.21398,-3.27556,1.30342,4.7938e-08
1.9,0.439301,-1.15257,-3.27742,1.28601,7.5931e-08
1.95,0.411474,-1.0875,-3.26693,1.2586,1.18239e-07
2,0.381546,-1.01824,-3.24259,1.21975,1.87177e-07
2.05,0.349187,-0.9441,-3.20267,1.16777,3.11889e-07
2.1,0.313968,-0.864166,-3.14522,1.10075,5.69108e-07
2.15,0.275317,-0.77717,-3.06809,1.01661,1.18474e-06
2.2,0.232452,-0.681344,-2.96917,0.913295,2.90571e-06
2.25,0.184276,-0.57416,-2.84719,0.789607,8.48739e-06
2.3,0.129261,-0.452028,-2.70422,0.647719,2.85719e-05
2.35,0.0655377,-0.310429,-2.55351,0.500979,9.32158e-05
2.4,-0.00775801,-0.147009,-2.43711,0.391545,0.000144734
2.45,-0.086243,0.028455,-2.42333,0.387763,-6.26488e-06
2.5,-0.160249,0.193789,-2.51716,0.494521,-0.000153495
2.55,-0.224683,0.337573,-2.65137,0.644333,-0.000240355
2.6,-0.280132,0.461555,-2.78025,0.791257,-0.000265696
2.65,-0.328464,0.570292,-2.88877,0.920087,-0.000272562
2.7,-0.371244,0.667504,-2.9743,1.02806,-0.000274656
2.75,-0.409599,0.755827,-3.03801,1.11623,-0.000275401
2.8,-0.444329,0.837107,-3.082,1.18662,-0.000275712
2.85,-0.476013,0.912668,-3.10846,1.24134,-0.000275864
2.9,-0.50508,0.98348,-3.11937,1.28233,-0.000275949
2.95,-0.53186,1.05027,-3.11652,1.31131,-0.000276002
3,-0.556607,1.11361,-3.10144,1.32977,-0.000276038
3.05,-0.579524,1.17393,-3.07547,1.33901,-0.000276065
3.1,-0.600777,1.23159,-3.0398,1.34018,-0.000276085
3.15,-0.620502,1.28686,-2.99546,1.33427,-0.0002761
3.2,-0.638811,1.33998,-2.94337,1.32217,-0.000276112
3.25,-0.655803,1.39114,-2.88433,1.30466,-0.000276121
3.3,-0.671559,1.4405,-2.81909,1.28243,-0.000276128
3.35,-0.686153,1.48818,-2.7483,1.25612,-0.000276133
3.4,-0.699648,1.53428,-2.67254,1.22628,-0.000276137
3.45,-0.712101,1.57891,-2.59236,1.19342,-0.00027614
3.5,-0.723564,1.62212,-2.50822,1.15798,-0.000276143
3.55,-0.734082,1.66399,-2.42058,1.12038,-0.000276144
3.6,-0.743698,1.70455,-2.32983,1.08098,-0.000276145
3.65,-0.75245,1.74386,-2.23633,1.04011,-0.000276145
3.7,-0.760373,1.78195,-2.14041,0.998079,-0.000276145
3.75,-0.767497,1.81885,-2.04238,0.955137,-0.000276144
3.8,-0.77385,1.85458,-1.94251,0.911526,-0.000276144
3.85,-0.779456,1.88918,-1.84105,0.867456,-0.000276143
3.9,-0.784336,1.92268,-1.73822,0.82311,-0.000276142
3.95,-0.788506,1.9551,-1.63422,0.778653,-0.000276141
4,-0.791977,1.98647,-1.52926,0.734224,-0.00027614
4.05,-0.794759,2.01684,-1.4235,0.689948,-0.000276139
4.1,-0.796856,2.04625,-1.31709,0.645931,-0.000276139
4.15,-0.798269,2.07474,-1.21019,0.602263,-0.000276138
4.2,-0.798996,2.10237,-1.10293,0.559024,-0.000276137
4.25,-0.79903,2.12918,-0.995433,0.51628,-0.000276137
4.3,-0.798363,2.15525,-0.887823,0.47409,-0.000276136
4.35,-0.796986,2.18062,-0.780214,0.432502,-0.000276136
4.4,-0.794885,2.20537,-0.672715,0.39156,-0.000276135
4.45,-0.792047,2.22957,-0.565434,0.351301,-0.000276135
4.5,-0.788458,2.25328,-0.458476,0.31176,-0.000276134
4.55,-0.784103,2.27657,-0.351945,0.272967,-0.000276134
4.6,-0.778967,2.29951,-0.245945,0.23495,-0.000276134
4.65,-0.773035,2.32217,-0.140581,0.197736,-0.000276134
4.7,-0.766294,2.34461,-0.0359576,0.161353,-0.000276134
4.75,-0.758728,2.36692,0.0678165,0.125828,-0.000276133
4.8,-0.750326,2.38914,0.170632,0.0911878,-0.000276133
4.85,-0.741074,2.41136,0.272375,0.0574618,-0.000276133
4.9,-0.730962,2.43363,0.37293,0.0246806,-0.000276133
4.95,-0.719979,2.45602,0.472177,-0.0071226,-0.000276133
5,-0.708116,2.4786,0.569992,-0.0379122,-0.000276133
5.05,-0.695364,2.50142,0.666247,-0.0676495,-0.000276133
5.1,-0.681717,2.52457,0.760808,-0.0962923,-0.000276133
5.15,-0.667167,2.54809,0.853538,-0.123794,-0.000276133
5.2,-0.651709,2.57206,0.944292,-0.150105,-0.000276133
5.25,-0.63534,2.59654,1.03292,-0.175169,-0.000276133
5.3,-0.618055,2.6216,1.11927,-0.198925,-0.000276133
5.35,-0.599853,2.6473,1.20318,-0.221307,-0.000276132
5.4,-0.580732,2.67372,1.28447,-0.242243,-0.000276132
5.45,-0.560693,2.70092,1.36298,-0.261651,-0.000276132
5.5,-0.539736,2.72898,1.43852,-0.279444,-0.000276132
5.55,-0.517864,2.75797,1.51089,-0.295524,-0.000276131
5.6,-0.495079,2.78797,1.57991,-0.309786,-0.000276131
5.65,-0.471387,2.81905,1.64535,-0.322113,-0.00027613
5.7,-0.446793,2.85129,1.707,-0.332374,-0.00027613
5.75,-0.421304,2.88479,1.76464,-0.340428,-0.000276129
5.8,-0.394929,2.91961,1.81801,-0.346118,-0.000276128
5.85,-0.367679,2.95586,1.86686,-0.34927,-0.000276127
5.9,-0.339567,2.99362,1.91093,-0.349695,-0.000276126
5.95,-0.310608,3.03299,1.94993,-0.347181,-0.000276124
6,-0.28082,3.07405,1.98356,-0.341498,-0.000276122
6.05,-0.250225,3.11691,2.01151,-0.332394,-0.00027612
6.1,-0.218851,3.16166,2.03346,-0.319592,-0.000276117
6.15,-0.186729,3.20839,2.04904,-0.302795,-0.000276113
6.2,-0.153899,3.25719,2.0579,-0.281684,-0.00027611
6.25,-0.120408,3.30814,2.05968,-0.25592,-0.000276106
6.3,-0.0863131,3.36131,2.05398,-0.225152,-0.000276102
6.35,-0.0516832,3.41675,2.04043,-0.18902,-0.000276098
6.4,-0.0166003,3.47451,2.01866,-0.147173,-0.000276095
6.45,0.0188389,3.53462,1.98834,-0.0992763,-0.000276093
6.5,0.0545209,3.59706,1.94917,-0.0450334,-0.000276093
6.55,0.0903154,3.6618,1.90092,0.0157913,-0.000276096
6.6,0.126074,3.72879,1.84344,0.083349,-0.000276102
6.65,0.161632,3.79794,1.77672,0.15768,-0.000276112
6.7,0.196807,3.86913,1.70085,0.238688,-0.000276124
6.75,0.231406,3.94223,1.61612,0.326119,-0.000276139
6.8,0.265223,4.01706,1.52298,0.419544,-0.000276154
6.85,0.298048,4.09346,1.42204,0.518354,-0.000276168
6.9,0.329667,4.17125,1.31412,0.621758,-0.000276177
6.95,0.359869,4.25025,1.2002,0.728794,-0.00027618
7,0.38845,4.3303,1.0814,0.838349,-0.000276174
7.05,0.415214,4.41123,0.958974,0.949188,-0.000276159
7.1,0.43998,4.49293,0.834263,1.05998,-0.000276131
7.15,0.462578,4.57531,0.708679,1.16931,-0.000276092
7.2,0.482853,4.6583,0.583674,1.27575,-0.000276041
7.25,0.500664,4.74189,0.460714,1.37784,-0.000275978
7.3,0.51588,4.82612,0.341272,1.47411,-0.000275903
7.35,0.528379,4.91107,0.226817,1.5631,-0.000275816
7.4,0.538041,4.99686,0.118817,1.64336,-0.000275716
7.45,0.544748,5.08371,0.0187481,1.71342,-0.000275601
7.5,0.54837,5.17189,-0.0718828,1.77179,-0.000275468
7.55,0.54876,5.26175,-0.151514,1.81693,-0.000275312
7.6,0.545743,5.35376,-0.218493,1.84721,-0.000275126
7.65,0.539098,5.44853,-0.271032,1.86087,-0.000274892
7.7,0.528536,5.54684,-0.307168,1.856,-0.000274579
7.75,0.513667,5.64976,-0.324729,1.83047,-0.000274106
7.8,0.493954,5.75871,-0.321366,1.782,-0.00027324
7.85,0.468632,5.87569,-0.294786,1.7084,-0.000271199
7.9,0.436609,6.00353,-0.243643,1.60846,-0.00026499
7.95,0.396364,6.14619,-0.170552,1.48499,-0.000243132
8,0.3462,6.30831,-0.0912626,1.35404,-0.000182325
8.05,0.286219,6.49071,-0.0522663,1.26259,-0.000194514
8.1,0.222746,6.68002,-0.112524,1.27024,-0.000303925
8.15,0.165445,6.85516,-0.255015,1.36059,-0.000412021
8.2,0.117907,7.00898,-0.417405,1.47166,-0.000467473
8.25,0.0791081,7.14468,-0.566602,1.57054,-0.000483147
8.3,0.0473004,7.26678,-0.693504,1.64819,-0.00048763
8.35,0.0210948,7.37878,-0.79762,1.70413,-0.000489138
8.4,-0.000501465,7.48314,-0.880891,1.74033,-0.000489759
8.45,-0.0181947,7.5816,-0.945743,1.7592,-0.000490071
8.5,-0.0324976,7.67544,-0.994514,1.7631,-0.000490255
8.55,-0.0437923,7.76561,-1.02931,1.75411,-0.000490378
8.6,-0.0523702,7.85283,-1.05201,1.73412,-0.000490466
8.65,-0.0584594,7.93769,-1.06426,1.70476,-0.000490531
8.7,-0.062242,8.02067,-1.06755,1.66753,-0.000490582
8.75,-0.0638671,8.10213,-1.06319,1.62374,-0.000490621
8.8,-0.0634589,8.18241,-1.05241,1.5746,-0.000490652
8.85,-0.0611235,8.2618,-1.03634,1.52125,-0.000490675
8.9,-0.0569532,8.34052,-1.016,1.46472,-0.000490692
8.95,-0.0510307,8.4188,-0.992393,1.40599,-0.000490704
9,-0.0434314,8.49683,-0.966449,1.346,-0.000490711
9.05,-0.0342263,8.57478,-0.939066,1.28565,-0.000490714
9.1,-0.0234833,8.65282,-0.911111,1.2258,-0.000490713
9.15,-0.01127,8.73109,-0.883432,1.1673,-0.000490709
9.2,0.0023451,8.80972,-0.856858,1.11099,-0.000490701
9.25,0.0172901,8.88884,-0.832209,1.05768,-0.00049069
9.3,0.0334872,8.96856,-0.810297,1.00818,-0.000490676
9.35,0.0508497,9.04897,-0.791929,0.963296,-0.00049066
9.4,0.0692779,9.13014,-0.777903,0.923832,-0.000490642
9.45,0.0886549,9.21209,-0.769003,0.890562,-0.000490624
9.5,0.108841,9.29484,-0.765974,0.864231,-0.000490608
9.55,0.129671,9.37831,-0.769501,0.845513,-0.000490594
9.6,0.150949,9.46239,-0.780162,0.834977,-0.000490587
9.65,0.172449,9.54691,-0.798371,0.833026,-0.000490588
9.7,0.193923,9.63162,-0.824333,0.839846,-0.000490598
9.75,0.215107,9.71629,-0.857994,0.855366,-0.000490615
9.8,0.235735,9.80063,-0.899031,0.879241,-0.000490638
9.85,0.255556,9.8844,-0.946871,0.910874,-0.000490663
9.9,0.274341,9.9674,-1.00073,0.949458,-0.000490688
9.95,0.291893,10.0495,-1.05968,0.994043,-0.00049071
10,0.30805,10.1306,-1.12272,1.0436,-0.000490729
10.05,0.322679,10.2107,-1.18879,1.09705,-0.000490744
10.1,0.335678,10.2898,-1.25685,1.15334,-0.000490754
10.15,0.346964,10.368,-1.32589,1.21144,-0.000490759
10.2,0.356473,10.4454,-1.39492,1.27033,-0.000490759
10.25,0.364154,10.5222,-1.46297,1.32906,-0.000490756
10.3,0.369961,10.5985,-1.5291,1.38667,-0.000490748
10.35,0.373854,10.6744,-1.59241,1.44225,-0.000490736
10.4,0.375792,10.7503,-1.65198,1.49488,-0.000490719
10.45,0.375731,10.8262,-1.70687,1.54361,-0.000490698
10.5,0.37362,10.9025,-1.75614,1.58752,-0.000490672
10.55,0.369399,10.9794,-1.79878,1.62559,-0.000490639
10.6,0.362994,11.0572,-1.83373,1.65678,-0.000490599
10.65,0.354313,11.1362,-1.85984,1.67995,-0.00049055
10.7,0.343236,11.2169,-1.87586,1.69385,-0.000490489
10.75,0.329613,11.2998,-1.88038,1.69709,-0.00049041
10.8,0.313246,11.3853,-1.8718,1.6881,-0.000490304
10.85,0.293877,11.4743,-1.84834,1.66512,-0.000490152
10.9,0.271161,11.5676,-1.80792,1.62609,-0.000489907
10.95,0.244626,11.6665,-1.7482,1.56872,-0.000489439
11,0.213617,11.7725,-1.66665,1.49051,-0.000488342
11.05,0.177202,11.888,-1.56093,1.38917,-0.000485144
11.1,0.134038,12.0164,-1.43031,1.26405,-0.000473911
11.15,0.0822806,12.1623,-1.28048,1.12093,-0.000431831
11.2,0.0201168,12.3304,-1.13788,0.986325,-0.000334932
11.25,-0.0509862,12.5184,-1.06913,0.926928,-0.000443845
11.3,-0.121895,12.7061,-1.12522,0.993702,-0.00060538
11.35,-0.183631,12.8738,-1.25312,1.13339,-0.000743954
11.4,-0.23488,13.0193,-1.38698,1.2799,-0.000791003
11.45,-0.277475,13.1475,-1.50116,1.40744,-0.000803083
11.5,-0.313245,13.263,-1.59027,1.51044,-0.000806551
11.55,-0.343512,13.3693,-1.6551,1.58962,-0.00080776
11.6,-0.369193,13.4685,-1.69801,1.64726,-0.000808284
11.65,-0.390929,13.5624,-1.72152,1.68582,-0.000808562
11.7,-0.409177,13.652,-1.72795,1.70758,-0.000808737
11.75,-0.424271,13.7384,-1.71936,1.71454,-0.000808861
11.8,-0.436457,13.8223,-1.69753,1.70849,-0.000808955
11.85,-0.445921,13.9042,-1.66404,1.69095,-0.00080903
11.9,-0.452804,13.9846,-1.62029,1.66333,-0.000809092
11.95,-0.457214,14.064,-1.56755,1.62687,-0.000809144
12,-0.459236,14.1426,-1.50699,1.58273,-0.000809188
12.05,-0.458934,14.2208,-1.43969,1.53199,-0.000809226
12.1,-0.456364,14.2989,-1.36671,1.47569,-0.000809258
12.15,-0.451571,14.377,-1.28905,1.41485,-0.000809285
12.2,-0.444595,14.4555,-1.20772,1.35048,-0.000809307
12.25,-0.435479,14.5344,-1.12373,1.28359,-0.000809325
12.3,-0.424265,14.614,-1.03813,1.21523,-0.000809337
12.35,-0.411004,14.6944,-0.951969,1.14648,-0.000809344
12.4,-0.395758,14.7757,-0.866367,1.07846,-0.000809345
12.45,-0.378603,14.858,-0.782473,1.01235,-0.000809339
12.5,-0.359635,14.9414,-0.701478,0.949344,-0.000809327
12.55,-0.338973,15.0258,-0.624596,0.890689,-0.000809308
12.6,-0.316765,15.1113,-0.553039,0.837621,-0.000809284
12.65,-0.293189,15.1976,-0.487975,0.791332,-0.000809258
12.7,-0.268454,15.2848,-0.430475,0.752922,-0.000809233
12.75,-0.242799,15.3726,-0.381452,0.723328,-0.000809213
12.8,-0.216483,15.4608,-0.3416,0.703271,-0.000809201
12.85,-0.189777,15.549,-0.31135,0.693203,-0.000809199
12.9,-0.162955,15.6372,-0.290846,0.693288,-0.000809208
12.95,-0.136278,15.725,-0.279958,0.703414,-0.000809227
13,-0.109988,15.8123,-0.278311,0.723218,-0.000809252
13.05,-0.0843039,15.899,-0.285338,0.752143,-0.00080928
13.1,-0.0594178,15.985,-0.300325,0.789482,-0.00080931
13.15,-0.0354976,16.0702,-0.322458,0.834426,-0.000809338
13.2,-0.0126895,16.1547,-0.350858,0.886097,-0.000809363
13.25,0.00887842,16.2384,-0.384602,0.943575,-0.000809386
13.3,0.0290924,16.3216,-0.42274,1.00591,-0.000809404
