t,phi1,phi2,phi1dot,phi2dot,deltaE
0.05,0.889748,-2.09404,-0.116559,0.0433031,-3.54834e-11
0.1,0.88864,-2.09298,-0.233042,0.0866172,-9.169e-11
0.15,0.886799,-2.0912,-0.349371,0.129953,-1.77791e-10
0.2,0.884231,-2.08869,-0.46547,0.17332,-2.95788e-10
0.25,0.880945,-2.08541,-0.581259,0.216729,-4.48352e-10
0.3,0.876956,-2.08134,-0.696659,0.260185,-6.38647e-10
0.35,0.872277,-2.07643,-0.811587,0.303695,-8.70101e-10
0.4,0.866926,-2.07065,-0.925958,0.347261,-1.1461e-09
0.45,0.860924,-2.06394,-1.03969,0.390885,-1.46966e-09
0.5,0.854293,-2.05623,-1.15268,0.434562,-1.84308e-09
0.55,0.847056,-2.04748,-1.26484,0.478283,-2.2677e-09
0.6,0.839237,-2.0376,-1.37607,0.522037,-2.74377e-09
0.65,0.830864,-2.02652,-1.48627,0.565802,-3.27066e-09
0.7,0.821961,-2.01417,-1.59532,0.609553,-3.84726e-09
0.75,0.812553,-2.00048,-1.70311,0.653254,-4.47276e-09
0.8,0.802664,-1.98537,-1.80951,0.696861,-5.14754e-09
0.85,0.792314,-1.96876,-1.91438,0.740319,-5.87386e-09
0.9,0.781521,-1.95058,-2.01759,0.783561,-6.65593e-09
0.95,0.770297,-1.93078,-2.11898,0.826509,-7.49914e-09
1,0.758651,-1.90929,-2.21839,0.869067,-8.40789e-09
1.05,0.746584,-1.88606,-2.31563,0.911124,-9.38248e-09
1.1,0.734092,-1.86105,-2.41052,0.952551,-1.0415e-08
1.15,0.721163,-1.83422,-2.50284,0.993197,-1.14855e-08
1.2,0.70778,-1.80555,-2.59237,1.03289,-1.25579e-08
1.25,0.693918,-1.775,-2.67884,1.07142,-1.35779e-08
1.3,0.679544,-1.74255,-2.76198,1.10857,-1.44707e-08
1.35,0.66462,-1.70818,-2.84148,1.14407,-1.51403e-08
1.4,0.649101,-1.67187,-2.91699,1.17763,-1.54682e-08
1.45,0.632935,-1.63359,-2.98813,1.20889,-1.53113e-08
1.5,0.616064,-1.59329,-3.05447,1.23747,-1.44974e-08
1.55,0.598421,-1.55094,-3.11554,1.26294,-1.28182e-08
1.6,0.579936,-1.50646,-3.1708,1.28479,-1.00164e-08
1.65,0.560524,-1.45977,-3.21967,1.30248,-5.76481e-09
1.7,0.540096,-1.41076,-3.26147,1.31537,3.69016e-10
1.75,0.518547,-1.3593,-3.29545,1.32273,8.98395e-09
1.8,0.495758,-1.3052,-3.32076,1.32376,2.09585e-08
1.85,0.471591,-1.24824,-3.33645,1.31753,3.76726e-08
1.9,0.44588,-1.18813,-3.34142,1.30298,6.14751e-08
1.95,0.418431,-1.12451,-3.33442,1.2789,9.67403e-08
2,0.389001,-1.0569,-3.31402,1.2439,1.52449e-07
2.05,0.357288,-0.984683,-3.27855,1.19635,2.4902e-07
2.1,0.322903,-0.907031,-3.22615,1.13443,4.38051e-07
2.15,0.285335,-0.82283,-3.15468,1.05607,8.65092e-07
2.2,0.243887,-0.730526,-3.06196,0.959135,1.99101e-06
2.25,0.197594,-0.627909,-2.94617,0.841869,5.45517e-06
2.3,0.145091,-0.511807,-2.8075,0.704553,1.76188e-05
2.35,0.0845682,-0.3779,-2.65331,0.554644,6.1063e-05
2.4,0.014387,-0.222106,-2.51227,0.420916,0.000149732
2.45,-0.0637176,-0.0480384,-2.44947,0.368522,5.10489e-05
2.5,-0.141112,0.124568,-2.50793,0.440419,-0.00010116
2.55,-0.209873,0.27765,-2.63532,0.584046,-0.000224976
2.6,-0.268973,0.409261,-2.77032,0.737824,-0.000267732
2.65,-0.320171,0.523769,-2.88816,0.876762,-0.000279068
2.7,-0.365225,0.625389,-2.98297,0.99483,-0.000282328
2.75,-0.405434,0.717178,-3.05501,1.09218,-0.000283416
2.8,-0.441717,0.801269,-3.10626,1.17069,-0.000283843
2.85,-0.474731,0.879174,-3.13894,1.23251,-0.000284039
2.9,-0.50496,0.951992,-3.15518,1.2797,-0.000284144
2.95,-0.532767,1.02054,-3.15685,1.31408,-0.000284207
3,-0.558433,1.08545,-3.14561,1.33725,-0.00028425
3.05,-0.58218,1.1472,-3.12288,1.3506,-0.00028428
3.1,-0.604185,1.20619,-3.08991,1.35533,-0.000284302
3.15,-0.624592,1.26272,-3.04781,1.35252,-0.000284319
3.2,-0.643524,1.31705,-2.99754,1.34309,-0.000284333
3.25,-0.66108,1.36939,-2.93997,1.32788,-0.000284343
3.3,-0.677347,1.4199,-2.87586,1.30762,-0.000284351
3.35,-0.692401,1.46874,-2.80591,1.28297,-0.000284358
3.4,-0.706305,1.51602,-2.73074,1.25452,-0.000284362
3.45,-0.719118,1.56184,-2.6509,1.2228,-0.000284366
3.5,-0.730892,1.60629,-2.56691,1.1883,-0.000284369
3.55,-0.741671,1.64943,-2.47922,1.15144,-0.000284371
3.6,-0.751498,1.69133,-2.38827,1.11261,-0.000284372
3.65,-0.760411,1.73203,-2.29442,1.07217,-0.000284372
3.7,-0.768444,1.77158,-2.19804,1.03044,-0.000284372
3.75,-0.775628,1.81001,-2.09944,0.987692,-0.000284372
3.8,-0.78199,1.84736,-1.99891,0.944193,-0.000284372
3.85,-0.787554,1.88366,-1.89672,0.900168,-0.000284371
3.9,-0.792341,1.91895,-1.79311,0.855823,-0.00028437
3.95,-0.796368,1.95324,-1.68831,0.811338,-0.000284369
4,-0.799649,1.98659,-1.58251,0.766872,-0.000284369
4.05,-0.802191,2.01903,-1.4759,0.722566,-0.000284368
4.1,-0.804001,2.0506,-1.36865,0.678543,-0.000284367
4.15,-0.805081,2.08136,-1.26092,0.63491,-0.000284366
4.2,-0.805429,2.11135,-1.15287,0.591763,-0.000284365
4.25,-0.805039,2.14063,-1.04462,0.549183,-0.000284365
4.3,-0.803904,2.16927,-0.936312,0.507244,-0.000284364
4.35,-0.802014,2.19734,-0.828067,0.46601,-0.000284363
4.4,-0.799356,2.2249,-0.720008,0.42554,-0.000284363
4.45,-0.795915,2.25202,-0.612254,0.385888,-0.000284362
4.5,-0.791678,2.27879,-0.504923,0.347103,-0.000284362
4.55,-0.786627,2.30528,-0.398131,0.309234,-0.000284362
4.6,-0.780747,2.33156,-0.291997,0.272328,-0.000284361
4.65,-0.774022,2.35772,-0.186641,0.236433,-0.000284361
4.7,-0.766435,2.38384,-0.0821864,0.201595,-0.000284361
4.75,-0.75797,2.41,0.0212414,0.167867,-0.000284361
4.8,-0.748612,2.43628,0.123511,0.135301,-0.00028436
4.85,-0.738346,2.46276,0.224486,0.103955,-0.00028436
4.9,-0.727157,2.48953,0.324024,0.0738923,-0.00028436
4.95,-0.715034,2.51666,0.421976,0.0451803,-0.00028436
5,-0.701963,2.54425,0.518184,0.0178941,-0.000284359
5.05,-0.687933,2.57238,0.612482,-0.00788357,-0.000284359
5.1,-0.672933,2.60114,0.704696,-0.0320613,-0.000284358
5.15,-0.656954,2.63061,0.79464,-0.0545378,-0.000284358
5.2,-0.639988,2.6609,0.882117,-0.0752009,-0.000284357
5.25,-0.622028,2.69209,0.966917,-0.0939262,-0.000284357
5.3,-0.60307,2.72428,1.04882,-0.110576,-0.000284356
5.35,-0.583109,2.75756,1.12758,-0.124996,-0.000284354
5.4,-0.562145,2.79204,1.20295,-0.137018,-0.000284353
5.45,-0.540178,2.82782,1.27466,-0.146455,-0.000284351
5.5,-0.517214,2.865,1.34243,-0.153099,-0.00028435
5.55,-0.493258,2.90369,1.40594,-0.156723,-0.000284347
5.6,-0.468325,2.94398,1.46487,-0.157079,-0.000284344
5.65,-0.442428,2.98599,1.51887,-0.153895,-0.000284341
5.7,-0.415593,3.0298,1.56758,-0.146877,-0.000284338
5.75,-0.387846,3.07552,1.61063,-0.13571,-0.000284334
5.8,-0.359227,3.12323,1.6476,-0.120059,-0.000284329
5.85,-0.329781,3.17302,1.6781,-0.0995735,-0.000284324
5.9,-0.299566,3.22495,1.70171,-0.0738929,-0.00028432
5.95,-0.26865,3.2791,1.71803,-0.042655,-0.000284315
6,-0.237117,3.33549,1.72665,-0.00550632,-0.000284312
6.05,-0.205063,3.39416,1.72722,0.0378833,-0.00028431
6.1,-0.172601,3.4551,1.71941,0.0878044,-0.00028431
6.15,-0.139859,3.51831,1.70297,0.144488,-0.000284313
6.2,-0.10698,3.58374,1.67773,0.208085,-0.000284319
6.25,-0.0741245,3.65133,1.64363,0.278644,-0.000284328
6.3,-0.0414644,3.721,1.60074,0.356089,-0.00028434
6.35,-0.00918524,3.79265,1.54926,0.440203,-0.000284355
6.4,0.0225182,3.86616,1.48957,0.530611,-0.000284371
6.45,0.0534445,3.94141,1.42221,0.626774,-0.000284386
6.5,0.0833884,4.01827,1.3479,0.727981,-0.000284399
6.55,0.112144,4.09662,1.2675,0.833361,-0.000284408
6.6,0.139509,4.17633,1.18206,0.941886,-0.000284409
6.65,0.165284,4.25732,1.09273,1.05239,-0.000284402
6.7,0.189278,4.33949,1.00082,1.16359,-0.000284383
6.75,0.211307,4.42279,0.907716,1.27409,-0.000284352
6.8,0.231197,4.50721,0.81489,1.38243,-0.000284307
6.85,0.24878,4.59277,0.723884,1.48708,-0.000284247
6.9,0.263891,4.67954,0.636293,1.58645,-0.00028417
6.95,0.276369,4.76763,0.553766,1.6789,-0.000284075
7,0.286051,4.85725,0.478006,1.76273,-0.000283958
7.05,0.292761,4.94864,0.410786,1.83619,-0.000283815
7.1,0.296308,5.04217,0.353967,1.89742,-0.00028364
7.15,0.296466,5.13831,0.309535,1.94446,-0.00028342
7.2,0.292962,5.23769,0.279636,1.97518,-0.000283135
7.25,0.285451,5.34116,0.266621,1.98726,-0.00028274
7.3,0.273473,5.44986,0.273066,1.97816,-0.000282124
7.35,0.256402,5.56538,0.301712,1.94518,-0.000280956
7.4,0.233358,5.68995,0.355115,1.88583,-0.000278082
7.45,0.203094,5.82678,0.43433,1.79913,-0.000269007
7.5,0.163948,5.98024,0.53452,1.69003,-0.00023781
7.55,0.114454,6.1546,0.632402,1.58199,-0.000178377
7.6,0.056438,6.34699,0.671206,1.53199,-0.000265124
7.65,-0.00133934,6.5387,0.609759,1.58139,-0.000350733
7.7,-0.0504366,6.71176,0.492664,1.68566,-0.000442888
7.75,-0.0893559,6.86401,0.375021,1.78967,-0.000477609
7.8,-0.119628,6.99984,0.27853,1.87167,-0.000487266
7.85,-0.142901,7.12354,0.207458,1.92734,-0.000490311
7.9,-0.160406,7.23827,0.160578,1.95785,-0.000491519
7.95,-0.173015,7.34621,0.135295,1.96577,-0.00049213
8,-0.181349,7.44893,0.128865,1.95381,-0.000492505
8.05,-0.185864,7.54755,0.138733,1.92452,-0.000492766
8.1,-0.186906,7.64293,0.162581,1.88019,-0.000492964
8.15,-0.184747,7.7357,0.198311,1.8229,-0.000493119
8.2,-0.179611,7.82634,0.244003,1.75457,-0.000493244
8.25,-0.171685,7.91524,0.297876,1.67697,-0.000493345
8.3,-0.161138,8.00268,0.358256,1.59176,-0.000493428
8.35,-0.148123,8.08888,0.423556,1.50052,-0.000493494
8.4,-0.13279,8.174,0.492258,1.40478,-0.000493546
8.45,-0.115286,8.25816,0.562905,1.30597,-0.000493585
8.5,-0.0957559,8.34143,0.634102,1.2055,-0.000493613
8.55,-0.074353,8.42386,0.704517,1.10469,-0.00049363
8.6,-0.0512326,8.50544,0.772894,1.00479,-0.000493637
8.65,-0.0265559,8.58618,0.838057,0.90699,-0.000493637
8.7,-0.000488751,8.66603,0.89893,0.812352,-0.000493631
8.75,0.0267992,8.74496,0.954548,0.721844,-0.00049362
8.8,0.0551363,8.8229,1.00407,0.636311,-0.000493607
8.85,0.0843509,8.8998,1.04678,0.556464,-0.000493593
8.9,0.114274,8.97561,1.0821,0.482881,-0.000493579
8.95,0.144741,9.05028,1.10961,0.416001,-0.000493568
9,0.175596,9.12377,1.129,0.356133,-0.000493559
9.05,0.206692,9.19606,1.1401,0.303462,-0.000493553
9.1,0.237893,9.26716,1.14284,0.258063,-0.000493551
9.15,0.269077,9.33709,1.13726,0.219916,-0.000493551
9.2,0.300136,9.40588,1.12347,0.188926,-0.000493553
9.25,0.330976,9.47361,1.10166,0.164941,-0.000493557
9.3,0.361517,9.54036,1.07203,0.147768,-0.000493562
9.35,0.39169,9.60624,1.03484,0.137189,-0.000493568
9.4,0.421438,9.67136,0.990355,0.132978,-0.000493574
9.45,0.450714,9.73586,0.938826,0.134907,-0.000493579
9.5,0.479477,9.79987,0.880515,0.142757,-0.000493584
9.55,0.507688,9.86353,0.815668,0.15632,-0.000493589
9.6,0.535313,9.92698,0.744519,0.175399,-0.000493593
9.65,0.562312,9.99032,0.667294,0.199808,-0.000493598
