K,V,E,T,Eerr
58.8502,-0.0450618,58.8051,73.2431,-3.41051e-06
58.8503,-0.0452002,58.8051,73.2433,-3.47855e-06
58.8505,-0.0453529,58.8051,73.2435,-3.68252e-06
58.8506,-0.0455,58.8051,73.2437,-3.68242e-06
58.8508,-0.0456535,58.8051,73.2439,-3.68232e-06
58.8509,-0.0458135,58.8051,73.2441,-3.68221e-06
58.8511,-0.0459801,58.8051,73.2443,-3.68209e-06
58.8513,-0.0461533,58.8051,73.2445,-3.68197e-06
58.8515,-0.0463333,58.8051,73.2447,-3.68185e-06
58.8516,-0.0465241,58.8051,73.2449,-3.74972e-06
58.8518,-0.0467179,58.8051,73.2452,-3.74958e-06
58.852,-0.0469187,58.8051,73.2454,-3.74944e-06
58.8522,-0.0471266,58.8051,73.2457,-3.74928e-06
58.8525,-0.0473417,58.8051,73.246,-3.74912e-06
58.8527,-0.0475642,58.8051,73.2462,-3.74896e-06
58.8529,-0.0477941,58.8051,73.2465,-3.74878e-06
58.8531,-0.0480317,58.8051,73.2468,-3.7486e-06
58.8534,-0.0482769,58.8051,73.2471,-3.74841e-06
58.8536,-0.04853,58.8051,73.2474,-3.74821e-06
58.8539,-0.0487911,58.8051,73.2478,-3.748e-06
58.8542,-0.0490604,58.8051,73.2481,-3.74779e-06
58.8545,-0.0493379,58.8051,73.2484,-3.74756e-06
58.8547,-0.0496239,58.8051,73.2488,-3.74733e-06
58.855,-0.0499185,58.8051,73.2492,-3.74708e-06
58.8553,-0.0502219,58.8051,73.2495,-3.74682e-06
58.8557,-0.0505343,58.8051,73.2499,-3.74656e-06
58.856,-0.0508559,58.8051,73.2503,-3.74628e-06
58.8563,-0.0511868,58.8051,73.2507,-3.74599e-06
58.8566,-0.0515272,58.8051,73.2512,-3.74568e-06
58.857,-0.0518775,58.8051,73.2516,-3.74537e-06
58.8574,-0.0522377,58.8051,73.252,-3.74504e-06
58.8577,-0.0526082,58.8051,73.2525,-3.74469e-06
58.8581,-0.0529892,58.8051,73.253,-3.74433e-06
58.8585,-0.0533809,58.8051,73.2535,-3.74395e-06
58.8589,-0.0537835,58.8051,73.254,-3.74356e-06
58.8593,-0.0541975,58.8051,73.2545,-3.74315e-06
58.8597,-0.0546271,58.8051,73.255,-3.81098e-06
58.8602,-0.0550646,58.8051,73.2556,-3.81054e-06
58.8606,-0.0555143,58.8051,73.2561,-3.81007e-06
58.8611,-0.0559765,58.8051,73.2567,-3.80957e-06
58.8616,-0.0564516,58.8051,73.2573,-3.80882e-06
58.8621,-0.05694,58.8051,73.2579,-3.80828e-06
58.8626,-0.0574459,58.8051,73.2585,-3.87529e-06
58.8631,-0.0579661,58.8051,73.2592,-3.94294e-06
58.8636,-0.0585006,58.8051,73.2598,-4.01043e-06
58.8641,-0.0590502,58.8051,73.2605,-4.07814e-06
58.8647,-0.0596151,58.8051,73.2612,-4.14557e-06
58.8653,-0.0601959,58.8051,73.2619,-4.21277e-06
58.8659,-0.060789,58.8051,73.2627,-4.21202e-06
58.8665,-0.061399,58.8051,73.2634,-4.21123e-06
58.8671,-0.0620344,58.8051,73.2642,-4.34594e-06
58.8678,-0.062688,58.8051,73.265,-4.48186e-06
58.8684,-0.0633522,58.8051,73.2658,-4.48094e-06
58.8691,-0.0640357,58.8051,73.2667,-4.47997e-06
58.8698,-0.0647431,58.8051,73.2676,-4.54729e-06
58.8705,-0.0654753,58.8051,73.2685,-4.68265e-06
58.8713,-0.066225,58.8051,73.2694,-4.74937e-06
58.8721,-0.066997,58.8051,73.2703,-4.81605e-06
58.8728,-0.067792,58.805,73.2713,-4.88252e-06
58.8737,-0.0686152,58.805,73.2723,-5.01725e-06
58.8745,-0.0694553,58.805,73.2734,-5.01584e-06
58.8754,-0.0703213,58.805,73.2745,-5.01434e-06
58.8763,-0.0712223,58.805,73.2756,-5.14932e-06
58.8772,-0.0721434,58.805,73.2767,-5.14765e-06
58.8781,-0.0730938,58.805,73.2779,-5.14587e-06
58.8791,-0.0740708,58.805,73.2791,-5.0759e-06
58.8801,-0.0750997,58.805,73.2804,-5.34616e-06
58.8812,-0.0761459,58.805,73.2817,-5.34405e-06
58.8822,-0.0772269,58.805,73.283,-5.3418e-06
58.8834,-0.0783522,58.805,73.2844,-5.47541e-06
58.8845,-0.0795117,58.805,73.2859,-5.54094e-06
58.8857,-0.080715,58.805,73.2873,-5.67432e-06
58.887,-0.0819602,58.805,73.2889,-5.80738e-06
58.8882,-0.0832492,58.805,73.2905,-5.93995e-06
58.8896,-0.0845842,58.805,73.2921,-6.07275e-06
58.8909,-0.0859716,58.805,73.2938,-6.27412e-06
58.8924,-0.0873979,58.805,73.2956,-6.27089e-06
58.8938,-0.0888815,58.805,73.2975,-6.33471e-06
58.8954,-0.0904172,58.805,73.2994,-6.33047e-06
58.897,-0.0920122,58.805,73.3014,-6.32593e-06
58.8986,-0.0936735,58.805,73.3034,-6.38894e-06
58.9004,-0.0953926,58.805,73.3056,-6.31573e-06
58.9022,-0.0971893,58.805,73.3078,-6.37835e-06
58.904,-0.0990593,58.805,73.3101,-6.44064e-06
58.906,-0.101003,58.805,73.3125,-6.43421e-06
58.908,-0.103037,58.805,73.3151,-6.56378e-06
58.9101,-0.105158,58.8049,73.3177,-6.69273e-06
58.9123,-0.107363,58.8049,73.3204,-6.68483e-06
58.9146,-0.109666,58.8049,73.3233,-6.67632e-06
58.917,-0.112081,58.8049,73.3263,-6.80325e-06
58.9195,-0.114607,58.8049,73.3294,-6.9297e-06
58.9222,-0.117237,58.8049,73.3327,-6.85105e-06
58.9249,-0.120001,58.8049,73.3362,-6.90758e-06
58.9278,-0.122897,58.8049,73.3398,-6.96315e-06
58.9309,-0.125923,58.8049,73.3435,-6.81385e-06
58.934,-0.129108,58.8049,73.3475,-6.79951e-06
58.9374,-0.132454,58.8049,73.3517,-6.78348e-06
58.9409,-0.13598,58.8049,73.356,-6.90288e-06
58.9446,-0.139679,58.8049,73.3606,-6.81685e-06
58.9485,-0.143578,58.8049,73.3655,-6.79717e-06
58.9526,-0.147693,58.8049,73.3706,-6.84437e-06
58.957,-0.152037,58.8049,73.376,-6.95674e-06
58.9615,-0.156627,58.8049,73.3817,-7.13555e-06
58.9664,-0.16147,58.8049,73.3877,-7.17672e-06
58.9715,-0.166588,58.8049,73.3941,-7.14719e-06
58.9769,-0.17201,58.8049,73.4009,-7.18318e-06
58.9827,-0.17775,58.8049,73.408,-7.14845e-06
58.9888,-0.183843,58.8049,73.4156,-7.1784e-06
58.9952,-0.190306,58.8049,73.4236,-7.13744e-06
59.0021,-0.197173,58.8049,73.4322,-7.09266e-06
59.0094,-0.204476,58.8049,73.4413,-7.04385e-06
59.0172,-0.212254,58.8049,73.451,-7.05859e-06
59.0255,-0.220544,58.8049,73.4613,-7.13657e-06
59.0343,-0.229381,58.8049,73.4723,-7.14154e-06
59.0437,-0.238818,58.8049,73.484,-7.20807e-06
59.0538,-0.248888,58.8049,73.4965,-7.06407e-06
59.0646,-0.259674,58.8049,73.51,-7.18552e-06
59.0761,-0.271208,58.8049,73.5243,-7.09525e-06
59.0885,-0.283566,58.8049,73.5397,-6.99653e-06
59.1018,-0.296823,58.8049,73.5562,-6.95657e-06
59.116,-0.311047,58.8049,73.5739,-6.77046e-06
59.1313,-0.326338,58.8049,73.593,-6.70917e-06
59.1477,-0.342783,58.8049,73.6134,-6.6356e-06
59.1654,-0.36049,58.8049,73.6355,-6.6173e-06
59.1845,-0.379558,58.805,73.6592,-6.44854e-06
59.2051,-0.40012,58.805,73.6848,-6.26432e-06
59.2273,-0.42232,58.805,73.7125,-6.19976e-06
59.2513,-0.446308,58.805,73.7423,-6.25365e-06
59.2772,-0.472213,58.805,73.7746,-5.88052e-06
59.3053,-0.500253,58.805,73.8095,-5.75997e-06
59.3356,-0.530605,58.805,73.8473,-5.61994e-06
59.3685,-0.56346,58.805,73.8882,-5.11998e-06
59.4041,-0.599075,58.8051,73.9325,-4.80634e-06
59.4428,-0.637679,58.8051,73.9806,-4.47807e-06
59.4846,-0.67953,58.8051,74.0327,-4.1409e-06
59.53,-0.7249,58.8051,74.0892,-3.94019e-06
59.5792,-0.774048,58.8051,74.1504,-3.68781e-06
59.6324,-0.827239,58.8051,74.2166,-3.40709e-06
59.6899,-0.884722,58.8051,74.2882,-3.27099e-06
59.7518,-0.946688,58.8051,74.3653,-3.33361e-06
59.8184,-1.01323,58.8051,74.4481,-3.4744e-06
59.8894,-1.0843,58.8051,74.5365,-4.08713e-06
59.9647,-1.15961,58.805,74.6302,-5.079e-06
60.0434,-1.2385,58.8049,74.7282,-6.91167e-06
60.1245,-1.31971,58.8048,74.8291,-9.81244e-06
60.2057,-1.40118,58.8045,74.9301,-1.4407e-05
60.2837,-1.4796,58.8041,75.0272,-2.11746e-05
60.3536,-1.55003,58.8035,75.1142,-3.08505e-05
60.4082,-1.60544,58.8028,75.1822,-4.38432e-05
60.4383,-1.63644,58.8018,75.2196,-6.00004e-05
60.4326,-1.63182,58.8008,75.2126,-7.73226e-05
60.3806,-1.58057,58.8,75.1479,-8.99154e-05
