x,y,z
8.66688,17.4015,14.0573
16.9171,9.15443,4.18626
4.06907,0.941446,4.5166
16.9562,17.9659,15.98
3.42196,7.82204,18.1742
11.521,3.33219,15.4822
16.3489,19.836,7.23445
14.1249,0.650226,14.1146
18.2191,4.23027,19.8127
7.97542,8.23853,19.808
17.8598,5.60202,14.2709
19.3791,6.95479,18.8967
14.5274,10.9109,12.7594
11.0226,7.88567,8.89852
9.48331,13.505,11.0949
1.87754,12.6509,12.5451
2.7869,6.52148,5.26709
10.9404,2.31966,16.8139
17.2486,12.3341,1.36021
6.87539,19.9271,8.75722
15.1579,4.62575,3.9748
7.61451,17.0961,6.87901
13.2975,0.977976,14.7092
5.5012,9.954,14.6359
0.966788,5.97989,16.2671
5.87015,11.0083,15.3516
7.19407,18.5263,10.5692
17.364,19.6543,6.73774
14.6399,6.26507,11.2815
1.82297,11.4483,9.64768
6.0568,17.9446,6.8919
13.3523,13.02,13.8168
19.796,0.105148,17.7451
10.1638,11.6888,18.9885
8.2256,1.00137,1.53455
14.994,15.308,13.8023
5.14234,7.08469,15.1507
13.0805,19.1374,18.0982
12.2803,1.78284,8.44347
19.1512,8.5628,8.74381
8.05245,11.4235,4.56578
4.65483,3.73654,7.37885
6.4169,6.38122,18.3047
7.54718,5.56302,17.9244
4.87072,15.8646,10.698
13.7991,11.1207,1.29932
13.8741,4.48681,2.10448
13.0678,2.79668,1.64692
4.99971,3.90929,17.3728
6.41522,3.16431,16.8584
7.66765,9.8278,14.576
6.9358,11.1304,3.00344
0.591784,19.3219,19.2859
1.43172,10.2979,6.52445
4.40976,12.4297,7.06182
5.56876,13.8251,7.70328
12.1563,18.5346,4.40808
11.3518,1.93927,3.43072
17.4252,13.4763,5.0689
12.1541,4.55267,9.51351
14.0879,13.0271,3.85172
12.7244,14.2155,5.17665
0.607654,11.3296,18.0647
17.0343,18.0352,9.12539
